UDP:[::]:51592->[::]:0 		 Code.exe
TCP:127.0.0.1:521->127.0.0.1:55256 		 xray.exe
TCP:[::]:55257->[::]:0 		 xray.exe
TCP:[::]:55267->[::]:0 		 QQMusic.exe
UDP:192.168.43.35:1863->113.75.241.217:41453 		 System
TCP:192.168.43.35:55277->119.147.3.178:443 		 System
UDP:192.168.43.35:1863->36.106.207.26:6523 		 QQMusic.exe
TCP:192.168.43.35:55294->101.91.37.19:443 		 System
TCP:192.168.43.35:55305->101.91.37.19:443 		 System
UDP:[::]:58903->[::]:0 		 svchost.exe
TCP:192.168.43.35:55257->101.91.37.19:443 		 System
TCP:[::]:55262->[::]:0 		 QQMusic.exe
UDP:192.168.43.35:55118->192.168.43.1:53 		 System
UDP:192.168.43.35:138->192.168.43.255:138 		 System
TCP:192.168.43.35:55269->59.36.124.30:443 		 System
TCP:192.168.43.35:55275->183.61.32.88:443 		 System
TCP:127.0.0.1:55279->127.0.0.1:12683 		 QQMusic.exe
TCP:127.0.0.1:521->127.0.0.1:55295 		 xray.exe
TCP:127.0.0.1:521->127.0.0.1:55304 		 xray.exe
UDP:192.168.43.35:1863->110.153.166.77:12962 		 System
TCP:[::]:55275->[::]:0 		 QQMusic.exe
TCP:192.168.43.35:55291->219.151.137.101:80 		 System
TCP:192.168.43.35:55292->219.151.137.101:80 		 System
TCP:192.168.43.35:55276->183.61.32.88:443 		 System
TCP:192.168.43.35:55290->119.147.3.178:443 		 System
UDP:[::]:62789->[::]:0 		 svchost.exe
TCP:127.0.0.1:521->127.0.0.1:55298 		 xray.exe
TCP:[::]:55302->[::]:0 		 chrome.exe
UDP:[::]:64731->[::]:0 		 svchost.exe
TCP:[::]:55259->[::]:0 		 qmbrowser.exe
TCP:[::]:55261->[::]:0 		 QQMusic.exe
TCP:[::]:55301->[::]:0 		 xray.exe
TCP:[::]:55256->[::]:0 		 TIM.exe
UDP:[::]:65389->[::]:0 		 svchost.exe
TCP:192.168.43.35:55280->58.49.216.19:443 		 System
TCP:[::]:55282->[::]:0 		 QQMusic.exe
TCP:192.168.43.35:55287->58.49.216.19:443 		 System
UDP:[::]:55851->[::]:0 		 svchost.exe
TCP:[::]:55263->[::]:0 		 QQMusic.exe
UDP:192.168.43.35:51263->192.168.43.1:53 		 System
UDP:192.168.43.35:1863->14.22.33.30:8006 		 QQMusic.exe
UDP:192.168.43.35:1863->49.89.243.213:62366 		 QQMusic.exe
UDP:192.168.43.35:56751->192.168.43.1:53 		 System
TCP:192.168.43.35:55301->101.91.37.19:443 		 System
TCP:[::]:55305->[::]:0 		 xray.exe
UDP:192.168.43.35:1863->14.22.9.195:8002 		 QQMusic.exe
TCP:192.168.43.35:55258->121.14.22.109:80 		 System
UDP:[::]:52036->[::]:0 		 svchost.exe
TCP:192.168.43.35:55289->119.147.3.178:443 		 System
TCP:[::]:55294->[::]:0 		 xray.exe
TCP:127.0.0.1:55298->127.0.0.1:521 		 chrome.exe
UDP:[::]:53990->[::]:0 		 Code.exe
UDP:[::]:65069->[::]:0 		 svchost.exe
TCP:[::]:55260->[::]:0 		 qmbrowser.exe
TCP:192.168.43.35:55262->59.36.124.30:443 		 System
TCP:[::]:55283->[::]:0 		 QQMusic.exe
UDP:192.168.43.35:1863->14.17.27.84:8006 		 System
TCP:127.0.0.1:55300->127.0.0.1:521 		 TIM.exe
TCP:192.168.43.35:55263->219.151.137.109:80 		 System
UDP:[::]:55118->[::]:0 		 svchost.exe
UDP:192.168.43.35:1863->113.77.173.83:22713 		 QQMusic.exe
TCP:[::]:55293->[::]:0 		 TIM.exe
